order_id,customer_id,product_id,quantity,unit_price,order_date
1021,505,P220,2,29.90,2026-09-05
1022,502,P221,3,49.90,2026-09-05
1023,506,P222,3,199.90,2026-09-05
1024,503,P234,2,159.90,2026-09-05
1025,507,P224,5,89.90,2026-09-05
1026,502,P221,3,49.90,2026-09-05
1027,506,P222,3,199.90,2026-09-05
1028,503,P234,2,159.90,2026-09-05
1029,507,P224,5,89.90,2026-09-05
1030,502,P221,3,49.90,2026-09-05
1031,506,P222,3,199.90,2026-09-05
1032,503,P234,2,159.90,2026-09-05
1033,507,P224,5,89.90,2026-09-05
1034,502,P221,3,49.90,2026-09-05
